TUCASEID,weight,race,age,labor_force_status,sex,day,year,category,TULINENO,region,division,state,metro_status,metro_area,county,category_sum_min,category_sum_hour,category_sum_hour_weight
20200112191936,2639344.712963,White,57,Employed-At work,Male,1,2020,socializing,1,South,West South Central,TX,metropolitan,0,0,0,0,0
20200112191937,2557443.83522,Black,37,Retired,Female,7,2020,socializing,1,South,West South Central,LA,metropolitan,35380,51,0,0,0
20200112191949,4716000.507334,Asian,44,Employed-At work,Female,7,2020,socializing,1,West,Pacific,WA,metropolitan,42660,0,0,0,0
20200112191951,15242916.461276,White,75,Retired,Female,5,2020,socializing,1,South,West South Central,AR,non-metropolitan,0,0,45,0.75,11432187.345957
20200112191957,6018354.673111,Black,42,Employed-At work,Female,3,2020,socializing,1,South,East South Central,AL,metropolitan,13820,0,0,0,0
20200112191959,4525971.687183,White,76,Retired,Female,7,2020,socializing,1,South,East South Central,TN,metropolitan,34980,0,105,1.75,7920450.45257025
20200112191960,2939532.674704,White,44,Employed-At work,Male,7,2020,socializing,1,South,South Atlantic,GA,metropolitan,42340,0,0,0,0
20200112191961,6540663.213469,White,41,Employed-At work,Male,7,2020,socializing,1,West,Pacific,CA,metropolitan,42220,97,288,4.8,31395183.424651198
20200112191966,11264028.173545,White,40,Employed-At work,Male,5,2020,socializing,1,Midwest,West North Central,MO,metropolitan,41180,0,0,0,0
20200112191968,8148243.793758,White,60,Employed-At work,Female,1,2020,socializing,1,West,Mountain,ID,metropolitan,14260,0,30,0.5,4074121.896879
20200112191970,21550617.453687,White,53,Employed-At work,Male,2,2020,socializing,1,West,Pacific,HI,metropolitan,46520,3,0,0,0
20200112191971,8017960.311061,Black,76,Retired,Female,3,2020,socializing,1,South,South Atlantic,MD,metropolitan,12580,510,0,0,0
20200112191974,17040590.009417,White,80,Retired,Female,6,2020,socializing,1,South,South Atlantic,FL,metropolitan,36740,0,0,0,0
20200112191977,5822683.263082,2+ races,47,Employed-At work,Female,3,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112191981,22357351.274925,White,64,Retired,Female,3,2020,socializing,1,South,West South Central,TX,metropolitan,12420,0,10,0.16666666666666666,3726225.2124875
20200112191983,4377039.551338,White,28,Employed-At work,Female,1,2020,socializing,1,West,Mountain,ID,non-metropolitan,0,0,0,0,0
20200112191985,4017449.988925,White,33,Employed-At work,Male,1,2020,socializing,1,West,Pacific,CA,metropolitan,12540,29,0,0,0
20200112191989,16850445.098286,White,71,Retired,Female,4,2020,socializing,1,Midwest,East North Central,OH,metropolitan,49660,0,0,0,0
20200112191991,2321709.04897,American Indian,33,Retired,Female,1,2020,socializing,1,West,Mountain,NM,metropolitan,29740,13,0,0,0
20200112191996,9821183.426684,White,27,Employed-At work,Female,1,2020,socializing,1,West,Mountain,AZ,metropolitan,38060,13,60,1,9821183.426684
20200112191998,8873036.477898,White,32,Employed-At work,Male,3,2020,socializing,1,West,Pacific,WA,non-metropolitan,0,0,90,1.5,13309554.716846999
20200112192000,29531115.64311,White,60,Employed-At work,Female,5,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112192001,6081263.870363,White,85,Retired,Male,7,2020,socializing,1,Midwest,East North Central,MI,non-metropolitan,0,0,0,0,0
20200112192002,3087524.212889,Hawaiian/Pacific Islander,28,Employed-At work,Female,7,2020,socializing,1,West,Pacific,CA,metropolitan,31080,37,0,0,0
20200112192005,20341933.022831,White,69,Retired,Female,4,2020,socializing,1,West,Pacific,CA,metropolitan,46700,95,90,1.5,30512899.5342465
20200112192008,3904039.929384,White,72,Retired,Male,2,2020,socializing,1,South,South Atlantic,SC,metropolitan,17900,0,105,1.75,6832069.876422
20200112192009,7273627.952851,White,55,Employed-At work,Female,7,2020,socializing,1,South,West South Central,TX,metropolitan,26420,0,0,0,0
20200112192010,23622696.631562,White,35,Employed-At work,Female,5,2020,socializing,1,Midwest,East North Central,OH,metropolitan,10420,153,60,1,23622696.631562
20200112192011,15787641.631587,White,53,Employed-At work,Female,3,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112192013,15680370.844688,White,59,Retired,Female,6,2020,socializing,1,West,Mountain,NV,non-metropolitan,0,0,0,0,0
20200112192017,15423117.932388,Asian,52,Employed-At work,Male,7,2020,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,35620,47,0,0,0
20200112192020,29026475.454257,White,29,Employed-At work,Female,3,2020,socializing,1,West,Mountain,CO,metropolitan,19740,59,0,0,0
20200112192028,3376070.549586,White,68,Retired,Female,2,2020,socializing,NA,NA,NA,NA,NA,NA,NA,120,2,6752141.099172
20200112192034,15905575.535848,Black,62,Employed-At work,Male,6,2020,socializing,1,Midwest,West North Central,MO,metropolitan,28140,0,0,0,0
20200112192035,10739656.323067,White,85,Retired,Male,7,2020,socializing,1,Midwest,West North Central,MN,metropolitan,33460,123,280,4.666666666666667,50118396.17431267
20200112192038,3406684.885966,White,52,Employed-At work,Male,7,2020,socializing,1,South,East South Central,MS,metropolitan,32820,0,0,0,0
20200112192042,7883559.023203,White,70,Employed-Absent,Female,3,2020,socializing,1,Midwest,East North Central,OH,non-metropolitan,0,0,0,0,0
20200112192046,9514613.277247,Asian,42,Employed-At work,Male,6,2020,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,35620,119,0,0,0
20200112192047,16093535.547556,White,50,Employed-At work,Female,5,2020,socializing,1,South,South Atlantic,VA,metropolitan,47260,810,30,0.5,8046767.773778
20200112192049,3958370.177469,White,36,Retired,Female,7,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112192050,2247720.642264,Black,49,Employed-At work,Female,1,2020,socializing,1,South,South Atlantic,VA,metropolitan,40220,0,0,0,0
20200112192052,6041032.45592,White,55,Employed-At work,Female,7,2020,socializing,NA,NA,NA,NA,NA,NA,NA,30,0.5,3020516.22796
20200112192056,4405242.21513,White,53,Employed-At work,Female,6,2020,socializing,1,South,South Atlantic,DC,metropolitan,47900,1,0,0,0
20200112192061,7501095.930924,Black,49,Retired,Female,7,2020,socializing,1,South,West South Central,AR,metropolitan,0,0,0,0,0
20200112192073,4241166.807348,White,46,Employed-At work,Female,1,2020,socializing,1,South,West South Central,TX,metropolitan,19100,0,0,0,0
20200112192077,6421297.852071,White,60,Retired,Female,5,2020,socializing,1,Northeast,Middle Atlantic,PA,metropolitan,0,0,90,1.5,9631946.7781065
20200112192079,9420708.095834,White,66,Retired,Male,1,2020,socializing,1,South,South Atlantic,NC,non-metropolitan,0,0,0,0,0
20200112192085,3064094.410171,White,38,Employed-At work,Male,7,2020,socializing,1,West,Mountain,ID,metropolitan,17660,0,10,0.16666666666666666,510682.4016951666
20200112192089,4410836.713999,White,41,Employed-At work,Female,1,2020,socializing,1,Midwest,West North Central,MO,metropolitan,28140,0,0,0,0
20200112192095,2228854.657336,White,52,Employed-At work,Male,1,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112192096,19714335.129415,White,36,Employed-At work,Female,2,2020,socializing,1,West,Pacific,CA,metropolitan,41860,75,0,0,0
20200112192098,6074428.563883,White,56,Employed-At work,Male,2,2020,socializing,1,West,Pacific,CA,metropolitan,41860,1,30,0.5,3037214.2819415
20200112192099,11421655.18399,White,60,Employed-At work,Male,6,2020,socializing,1,South,East South Central,AL,non-metropolitan,0,0,0,0,0
20200112192100,8001655.133536,White,70,Retired,Female,2,2020,socializing,1,Northeast,Middle Atlantic,PA,metropolitan,42540,0,90,1.5,12002482.700304
20200112192101,12825122.08643,Black,44,Employed-At work,Female,1,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112192104,6312299.957731,White,71,Retired,Male,1,2020,socializing,1,South,West South Central,TX,metropolitan,19100,0,126,2.1,13255829.911235102
20200112192106,6560428.191255,White,85,Retired,Female,6,2020,socializing,1,Midwest,West North Central,KS,metropolitan,28140,91,0,0,0
20200112192107,5286619.006326,White,79,Retired,Male,4,2020,socializing,1,West,Mountain,AZ,metropolitan,38060,13,0,0,0
20200112192111,10214678.492935,White,65,Retired,Male,7,2020,socializing,1,South,South Atlantic,DE,metropolitan,41540,5,0,0,0
20200112192120,5379599.778222,White,65,Retired,Female,5,2020,socializing,1,Midwest,West North Central,SD,non-metropolitan,0,0,0,0,0
20200112192129,7289257.166892,American Indian,80,Retired,Female,2,2020,socializing,1,South,West South Central,OK,metropolitan,46140,0,120,2,14578514.333784
20200112192131,12642281.951668,White,30,Employed-At work,Female,7,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112192132,4930666.158364,White,63,Unemployed-On layoff,Female,1,2020,socializing,1,South,South Atlantic,GA,non-metropolitan,0,0,15,0.25,1232666.539591
20200112192134,17616723.189326,White,56,Employed-At work,Female,5,2020,socializing,1,West,Mountain,AZ,metropolitan,46060,19,0,0,0
20200112192139,13955557.099125,White,79,Retired,Male,6,2020,socializing,1,South,East South Central,TN,metropolitan,34980,0,0,0,0
